series,size,loops,model,height,height_tolerance,width,weight,mounting_options,thru_hole_mm,thread_mm,C_Sink_metric,Max_static_load,Max_deflection,Kv,Ks
WR2,100,10,WR2-100-10,18,±1.52,25,0.02,"B,D,E",4.7±0.13,M4 X 0.7,90,33.0,11.7,20.0,11.4
WR3,200,10,WR3-200-10,20,±1.53,28,0.02,"B,D,C,D,E,S",4.7±0.14,M4 X 0.8,90,24.0,14.7,14.0,7.0
WR4,400,10,WR4-400-10,25,±1.54,30,0.02,"B,D,C,D,E,S",4.7±0.15,M4 X 0.9,90,24.0,20.8,11.0,4.7
WR5,600,10,WR5-600-10,28,±1.55,33,0.02,"B,D,C,D,E,S",4.7±0.16,M4 X 0.10,90,18.0,24.9,7.0,3.0
WR6,700,10,WR6-700-10,30,±1.56,36,0.02,"B,D,C,D,E,S",4.7±0.17,M4 X 0.11,90,18.0,26.9,6.1,2.6
WR7,800,10,WR7-800-10,33,±1.57,38,0.02,"B,D,C,D,E,S",4.7±0.18,M4 X 0.12,90,16.0,31.0,5.3,1.9
WR2,100,10,WR2-400-10,18,±1.52,25,0.02,"B,D,E",4.7±0.13,M4 X 0.7,90,33.0,11.7,20.0,11.4
WR2,200,10,WR2-400-10,20,±1.52,28,0.02,"A,B,C,D,E,S",4.7±0.13,M4 X 0.7,90,24.0,14.7,14.0,7.0
WR2,400,10,WR2-400-10,25,±1.52,30,0.03,"A,B,C,D,E,S",4.7±0.13,M4 X 0.7,90,24.0,20.8,11.0,4.7
WR2,600,10,WR2-400-10,28,±1.52,33,0.03,"A,B,C,D,E,S",4.7±0.13,M4 X 0.7,90,18.0,24.9,7.0,3.0
WR2,700,10,WR2-400-10,30,±1.52,36,0.03,"A,B,C,D,E,S",4.7±0.13,M4 X 0.7,90,18.0,26.9,6.1,2.6
WR2,800,10,WR2-400-10,33,±1.52,38,0.03,"A,B,C,D,E,S",4.7±0.13,M4 X 0.7,90,16.0,31.0,5.3,1.9
WR3,100,10,WR3-400-10,23,±1.52,28,0.06,"B,D,E",5.6±0.13,M5 X 0.8,90,62.0,12.7,38.0,20.0
WR3,200,10,WR3-400-10,25,±1.52,30,0.07,"A,B,C,D,E,S",5.6±0.13,M5 X 0.8,90,53.0,15.7,28.0,14.0
WR3,400,10,WR3-400-10,28,±1.52,33,0.07,"A,B,C,D,E,S",5.6±0.13,M5 X 0.8,90,44.0,18.8,21.0,9.6
WR3,600,10,WR3-400-10,33,±1.52,38,0.07,"A,B,C,D,E,S",5.6±0.13,M5 X 0.8,90,36.0,25.9,13.0,5.6
